Date and Time,B(x) nT,B(y) nT,B(z) nT,B-mag nT,x (Rj),y (Rj),z (Rj)
,,,,,,,
1997-05-07T15:36:55.133,-8.36,-25.04,-85.24,89.23,-1.57,-3.68,0.65
1997-05-07T15:36:55.467,-8.38,-25.16,-85.22,89.25,-1.57,-3.68,0.65
1997-05-07T15:36:55.800,-8.41,-25.09,-85.24,89.25,-1.57,-3.67,0.65
1997-05-07T15:36:56.133,-8.44,-25.08,-85.27,89.28,-1.57,-3.67,0.65
1997-05-07T15:36:56.467,-8.5,-25.16,-85.19,89.23,-1.57,-3.67,0.65
1997-05-07T15:36:56.800,-8.47,-25.18,-85.18,89.23,-1.57,-3.67,0.65
1997-05-07T15:36:57.133,-8.6,-25.2,-85.18,89.25,-1.57,-3.67,0.65
1997-05-07T15:36:57.467,-8.47,-25.04,-85.12,89.13,-1.57,-3.67,0.65
1997-05-07T15:36:57.800,-8.44,-25.04,-85.17,89.17,-1.57,-3.67,0.65
1997-05-07T15:36:58.133,-8.41,-25.3,-85.06,89.14,-1.57,-3.67,0.65
1997-05-07T15:36:58.467,-8.39,-25.27,-85,89.08,-1.57,-3.67,0.65
1997-05-07T15:36:58.800,-8.37,-25.01,-85.09,89.09,-1.57,-3.66,0.65
1997-05-07T15:36:59.133,-8.37,-24.98,-85.12,89.11,-1.57,-3.66,0.65
1997-05-07T15:36:59.467,-8.35,-24.93,-85.24,89.2,-1.57,-3.66,0.65
1997-05-07T15:36:59.800,-8.36,-24.71,-85.26,89.16,-1.57,-3.66,0.65
1997-05-07T15:37:00.133,-8.31,-24.78,-85.3,89.21,-1.57,-3.66,0.65
1997-05-07T15:37:00.467,-8.32,-24.82,-85.31,89.24,-1.57,-3.66,0.65
1997-05-07T15:37:00.800,-8.33,-24.99,-85.35,89.33,-1.57,-3.66,0.65
1997-05-07T15:37:01.133,-8.29,-25.08,-85.26,89.26,-1.57,-3.66,0.65
1997-05-07T15:37:01.467,-8.42,-25.15,-85.36,89.39,-1.57,-3.66,0.65
1997-05-07T15:37:01.800,-8.42,-25.2,-85.34,89.38,-1.57,-3.65,0.65
1997-05-07T15:37:02.133,-8.29,-25.29,-85.29,89.35,-1.57,-3.65,0.65
1997-05-07T15:37:02.467,-8.38,-25.29,-85.31,89.37,-1.57,-3.65,0.65
1997-05-07T15:37:02.800,-8.31,-25.47,-85.24,89.35,-1.57,-3.65,0.65
1997-05-07T15:37:03.133,-8.38,-25.38,-85.17,89.27,-1.57,-3.65,0.65
1997-05-07T15:37:03.467,-8.39,-25.22,-85.12,89.17,-1.57,-3.65,0.65
1997-05-07T15:37:03.800,-8.44,-25.2,-85.06,89.11,-1.57,-3.65,0.65
1997-05-07T15:37:04.133,-8.33,-25.09,-85.15,89.16,-1.57,-3.65,0.65
1997-05-07T15:37:04.467,-8.35,-25.06,-85.26,89.26,-1.57,-3.65,0.65
1997-05-07T15:37:04.800,-8.33,-24.99,-85.28,89.26,-1.57,-3.65,0.65
1997-05-07T15:37:05.133,-8.28,-24.95,-85.3,89.26,-1.57,-3.64,0.65
1997-05-07T15:37:05.467,-8.17,-24.94,-85.51,89.45,-1.57,-3.64,0.65
1997-05-07T15:37:05.800,-8.09,-24.92,-85.63,89.55,-1.57,-3.64,0.65
1997-05-07T15:37:06.133,-8.28,-24.94,-85.66,89.6,-1.57,-3.64,0.65
1997-05-07T15:37:06.467,-8.21,-24.95,-85.59,89.53,-1.57,-3.64,0.65
1997-05-07T15:37:06.800,-8.26,-24.82,-85.71,89.61,-1.57,-3.64,0.65
1997-05-07T15:37:07.133,-8.46,-24.95,-85.71,89.67,-1.57,-3.64,0.65
1997-05-07T15:37:07.467,-8.51,-25.09,-85.76,89.77,-1.57,-3.64,0.65
1997-05-07T15:37:07.800,-8.57,-25.18,-85.72,89.76,-1.57,-3.64,0.65
1997-05-07T15:37:08.133,-8.45,-24.93,-85.89,89.84,-1.57,-3.63,0.65
1997-05-07T15:37:08.467,-8.49,-24.89,-86.04,89.97,-1.57,-3.63,0.65
1997-05-07T15:37:08.800,-8.51,-24.97,-86.11,90.06,-1.57,-3.63,0.65
1997-05-07T15:37:09.133,-8.46,-24.89,-86.16,90.09,-1.57,-3.63,0.65
1997-05-07T15:37:09.467,-8.55,-24.84,-86.11,90.03,-1.57,-3.63,0.65
1997-05-07T15:37:09.800,-8.63,-24.71,-86.08,89.97,-1.57,-3.63,0.65
1997-05-07T15:37:10.133,-8.68,-24.39,-85.94,89.75,-1.57,-3.63,0.65
1997-05-07T15:37:10.467,-8.6,-24.45,-86.01,89.83,-1.57,-3.63,0.65
1997-05-07T15:37:10.800,-8.62,-24.71,-85.72,89.63,-1.57,-3.63,0.65
1997-05-07T15:37:11.133,-8.43,-24.58,-85.65,89.5,-1.57,-3.62,0.65
1997-05-07T15:37:11.467,-8.48,-24.62,-85.68,89.55,-1.57,-3.62,0.65
1997-05-07T15:37:11.800,-8.51,-24.8,-85.66,89.59,-1.57,-3.62,0.65
1997-05-07T15:37:12.133,-8.35,-24.95,-85.63,89.58,-1.57,-3.62,0.65
1997-05-07T15:37:12.467,-8.36,-25.19,-85.72,89.73,-1.57,-3.62,0.65
1997-05-07T15:37:12.800,-8.27,-25.03,-85.84,89.79,-1.57,-3.62,0.65
1997-05-07T15:37:13.133,-8.24,-25.02,-85.97,89.91,-1.57,-3.62,0.65
1997-05-07T15:37:13.467,-8.37,-25.2,-86.01,90.02,-1.57,-3.62,0.65
